Marca temporal,Caso 1: Escribe tu descripción,Caso 2: Escribe tu descripción,Caso 3: Escribe tu descripción,Caso 4: Escribe tu descripción,¿Tienes un trabajo o cursas estudios estrechamente relacionados con la Informática?,¿Tienes un trabajo o cursas estudios estrechamente relacionados con la Inteligencia Artificial o el Internet de las Cosas?,¿A qué te dedicas y/o qué estudias?,"¿Has configurado alguna vez un sistema para hogares inteligentes (Home Assistant, Xiaomi Home, etc.)?  ",,¿Cuántos años tienes?
12/11/2023 14:46:01,"El estudio dispone de un sensor en la puerta de entrada que detecta si esta está abierta o cerrada. También dispone de un sensor de presencia de personas dentro y un sensor para el encendido y apagado de la luz cuando no hay nadie. Las persiana de la ventana del estudio tiene un motor. El estudio se comunica con el salón por medio de una puerta. 
El salón dispone de un dispositivo de presencia de personas en su interior y un sensor de encendido y apagado de la luz. El salón no tiene ventanas y se comunica con la cocina por medio de una puerta. 
La cocina tiene un sensor de luz, un dispositivo para encender y apagar la luz  y un sensor de presencia de personas en su interior.","La sala de reuniones dispone de un sensor de presencia de personas en su interior colocado en la pared en la que se encuentra la puerta de acceso y un dispositivo para el encendido y apagado de la luz. 
El estudio dispone de un sensor de presencia de personas en su interior en la pared opuesta a la puerta de entrada y un dispositivo para el encendido y apagado de la luz. 
La sala de reuniones y el estudio se separan por una pared de cristal . ","El living room tiene un sensor que detecta la presencia de personas en su interior, un dispositivo para encender y apagar la luz que se sitúa sobre la mesa de comedor y la persiana tiene un motor para subirla y bajarla. 
La cocina dispone un sensor que detecta la presencia de personas en su interior y un dispositivo para encender y apagar la luz. 
La cocina y el living room no se separan por ningún elemento físico.","El salón tiene un sensor de presencia de personas y un dispositivo para encender y apagar la luz. El salón no tiene ventanas y se comunica con la sala de música por una puerta. 
La sala de música tiene un sensor de presencia de personas y un dispositivo para encender y apagar la luz. La sala de música no tiene ventanas y dispone una puerta que comunica con el salón y una puerta doble con el exterior. ",No,Sí,Soy veterinario clínico y técnico de calidad de leche de ganado bovino y soy estudiante de doctorado en la UCLM,No,,41
15/11/2023 10:14:24,"El salón tiene una lámpara inteligente, un detector de personas y la puerta que va al estudio tiene un detector del estado de la puerta. El estudio tiene una lámpara inteligente, un detector de personas y un motor para la persiana. La cocina tiene una lámpara inteligente, un luxómetro y un detector de personas.",Los despachos tienen una lámpara inteligente y un detector de presencia. La sala de reuniones tienen una lámpara inteligente y un detector de personas.,"La cocina tiene una lámpara inteligente y un detector de personas. La sala familiar tiene un motor para la persiana, un detector de personas y una lámpara inteligente.",La sala de música tiene un detector de personas y una lámpara inteligente. El estudio tiene un detector de personas y una lámpara inteligente.,Sí,Sí,Ingeniería Informática,Sí,,25
15/11/2023 11:34:55,"El piso tiene una cocina, un salon y un estudio, la cocina tiene una puerta doble a la calle y una simple al salon, una ventana al extrerior y posee en el mapa tres dispositivos: un detector de estancia, un detector de nivel de luz y una bombilla inteligente, otro dispositivo podria ser un dispositivo para abrir y cerrrar la ventana y un detector de etado de las dos puertas. En el salon hay una bombilla inteligente y un detector de personas, y en l cocina encontramos tambien un detector de estado de puerta, un dispositivo para la persiana, una bombillla inteligente y un sensor de luz. ","En el mapa hay una sala de reuniones con una puerta doble tiene dos dispositivos, un detector de presencia y una bombila inteligente, deberia haber un sensor de luminosidad, tambien hay despachos y hay una puerta doble, un detector de presencia y una bombilla para toda la sala, deberia haber una bombilla por puesto y un detector de presencia por puesto.","en el mapa hay un salon con una ventana con un dispositivo de apertura de persiana, tambien hay una bombilla inteligente y un sensor de presencia, un sensor de luminosidad tambien deberia existir. Hay una cocina con una puerta doble y dos dispotivos, un detector de presencia y una bombilla inteligente, el sensor de puerta y un sensor de luz seria ideal.","el mapa muestra dos salas en una hay un detector de presencia y un dispositivo para apagar y encender la luz, en la otra sala hay lo mismo ademas de dos puertas una a la calle y otra a la sala contigua, un sensor para el estado de cada puerta estaria bien.",Sí,Sí,Ingeniero Informatico,Sí,,43
15/11/2023 12:07:47,"La casa está formada por un estudio, un salón y la cocina. El salón dispone de un sensor de presencia que permite detectar personas, además la puerta que conecta con el salón cuenta con un sensor para saber si esta está abierta o cerrada. La ventana de este salón posee un motor para abrir y cerrar la persiana automáticamente. Por último se cuenta con una fuente de luz.
A continuación tenemos la cocina, la cual cuenta con un sensor de presencia para detectar personas y una luz automática.
Para finalizar, en la cocina se dispone de otro sensor de presencia, un sensor para conocer el nivel de luz de la sala y una fuente de luz que puede encenderse de forma automática","La casa está formada por dos salas sensorizadas. Primero tenemos la sala de reuniones que cuenta con una fuente de luz y un sensor para la detección de la ocupación en la sala. Separado por un muro de cristal tenemos otra sala con ordenadores, que cuenta con la misma sensorica, un detector de presencia y una fuente de luz","La casa tiene un salón junto a una cocina americana. La presencia del salón está controlada por un sensor, además de contar con una persiana automatizada y una luz automática encima de la mesa familiar. En la cocina se dispone de otro sensor de presencia apuntando a la misma y volvemos a tener una fuente de luz para esta zona de la casa.","La casa está formada por dos habitaciones separadas por un muro y conectadas por una puerta. La primera habitación cuenta con un sensor para conocer la presencia y una fuente de luz, cabe destacar que en esta habitación no hay ventana. En la segunda habitación, que conecta por medio de la puerta en la que hay un piano, tenemos también un sensor de presencia y una fuente de luz.",Sí,Sí,Investigador Predoctoral en el campo de la Ingeniería Informática,No,,26
15/11/2023 12:13:52,"La casa tiene tres estancias: un estudio, un salón y una cocina.
En la cocina hay una lámpara, un sensor de luz y un sensor de presencia.
En el salón hay otra lámpara y otro sensor de movimiento.
En el estudio hay un sensor de puerta abierta o cerrada, otra lámpara, otro sensor de luz, otro sensor de movimiento un dispositivo de control de persiana.","la casa tiene dos estancias: una sala de reuniones y un despacho compartido.
En la sala de reuniones hay una lámpara y un sensor de movimiento.
En el despacho compartido hay otra lámpara y otro sensor de movimiento.","La casa tiene una sola estancia, dividida en zona familiar y zona de cocina, sin paredes entre ellas.
La zona familiar tiene una lámpara encima de la mesa, un control de persianas y un sensor de movimiento.
En la zona de la cocina tenemos una lámpara central y un sensor de movimiento.","La casa tiene dos estancias: una especie de salón y una sala de música.
En el salón hay una lámpara y un sensor de movimiento.
En la sala de música, hay una lámpara y otro sensor de movimiento.",Sí,Sí,Grado en ingeniería informática,Sí,,21
16/11/2023 16:08:41,"El estudio tiene un dispositivo que detecta si hay personas en él. También tiene un dispositivo que abre y cierra las persianas, otro que mide el nivel de luz, un cuarto dispositivo que enciende y apaga la luz y por último, otro que detecta si la puerta que comparte con el salón está abierta o cerrada. 
El salón tiene dos dispositivos, uno que detecta si hay personas y otro que enciende y apaga la luz.
En la cocina hay tres dispositivos, detección de personas, intensidad de luz y encender y apagar la misma.","En la primera estancia hay dos dispositivos, uno que detecta la presencia de personas y otro que enciende y apaga la luz.
En la segunda estancia igual que en la primera.","Hay una estancia con dos ambientes y en ambas hay dos dispositivos de detección de la presencia de personas y otro para encender y apagar la luz.
Además en una de las ventanas hay un tercero que cierra y abre las persianas.",Son dos habitaciones que se comunican por una puerta. Ambas tienen dos dispositivos de detección de la presencia de personas y otro que enciende y apaga la luz.,No,No,Maestra,No,,39
16/11/2023 17:19:55,Es una casa de 3 habitaciones con un detector de presencia en las tres habitaciones. Tambien tiene un medidor de luz en la cocina y en el estudio. En la puerta entre el estudio y el salón hay un detector de puerta abierta. La ventana del estudio tiene un sensor para abrir y cerrar la persiana,hay dos habitaciones con sensores de presencia y dispositivos que encienden y apagan la luz,"es  un espacio dividido en dos cada uno de ellos con un sensor de presencia. La ventana del salon posee un dispositivo para abrir y cerrar la persiana y las luces de cada espacio se encienden y apagan por dos sensores
","Son dos habitaciones, cada una de ellas con un sensor de presencia para personas y un sensor que enciende y apaga la luz",No,No,Profesor de Química,No,,44
16/11/2023 19:40:17,"A mi casa se entra por la cocina. Dispone de detectores de presencia en todas las estancias, y detectores del nivel de luz en la cocina y el estudio. También tiene un detector de estado de la puerta que comunica el estudio con el salón. La persiana del estudio es automática.",Mi oficina tiene dos espacios separados que no están comunicados entre sí. A cada uno de ellos se entra por una puerta diferente y ambos tienen detectores de presencia.,"La cocina de mi casa está integrada en el mismo espacio que el salón. Este espacio dispone de persianas automáticas y dos sensores de presencia, uno orientado a la zona de la cocina y otro orientado a la zona de salón.",A mi despacho se entra a través de la sala de música y no dispone de una entrada independiente. La única entrada de luz natural a ambas estancias es la puerta de la sala de música. Ambas estancias disponen de detectores de presencia.,No,No,Soy profesora de química inorgánica en la universidad,No,,57
16/11/2023 19:50:33,"Los planos corresponden a un estudio que tiene cocina-comedor, salón y un estudio. Tiene tres detectores de personas, dos medidores de intensidad de luz y dos interruptores automáticos de luz. Entre la sala de estar y el estudio hay un detector del estado de la puerta ",El plano de una oficina muestra tres puestos de trabajo y una sala de reuniones. En ambas salas hay un detector de presencialidad y un interruptor de luz,"En el plano se muestra una cocina y una sala  de estar. En cada una hay un detector de personas, un interruptor de luz y, en la sala de estar hay un dispositivo que permite abrir y cerrar la persiana automáticamente ","Las dos salas de música, con piano y órgano, están comunicadas  por una puerta. En las dos salas hay detectores de personas e interruptores de luz ",No,No,Profesora de universidad ,No,,56
16/11/2023 21:43:19,"La casa tiene una cocina con un sensor de luz y su intensidad y su ocupación,  el salón la ocupación y un sensor de luz, mientras que la habitación de estudio mide la ocupación, la luz y su intensidad, y el estado de la puerta y ventana.","La casa tiene un salón y una habitación de trabajo, ambas con detección de luz y presencia de personas.","La casa posee una cocina con un sensor de luz y ocupación, mientras que el salón, además los mismos sensores, disponible de un sensor de apertura de ventana.","Se tiene una casa con dos habitaciones de trabajo, ambas con sensores de luz y presencia de personas.",Sí,No,Profesor universitario ciencias,No,,52
17/11/2023 21:02:02,"La casa tiene un salón sin ventanas. En el salón hay un dispositivo que detecta si hay personas y otro que enciende y apaga la luz. La puerta del salón comunica en la cocina. La cocina es grande e iluminada con una ventana grande. La cocina tiene una puerta doble al exterior. Tiene un dispositivo que detecta si hay personas, uno que detecta el nivel de luz y otro que enciende y apaga la luz. El salón también tiene una puerta que comunica con un estudio. Esta puerta tiene un dispositivo que detecta su estado. En el estudio hay una ventana grande con un dispositivo que abre y cierra la persiana. El estudio también tiene un dispositivo que detecta si hay personas, uno que detecta el nivel de luz y otro que enciende y apaga la luz. El estudio es más pequeño que el salón. ","La casa tiene dos estancias del mismo tamaño. Una estancia es una sala de reuniones con una mesa grande y 10 sillas. La sala tiene una puerta doble y un detector de personas. La otra sala tiene 3 mesas de despacho, una puerta doble al exterior, un detector de personas y un dispositivo que enciende y apaga la luz. Las dos salas no están comunicadas.",La casa tiene un única estancia. Tiene una ventana grande con dispositivo que abre y cierra la persiana. También tiene una puerta doble al exterior. Tiene dos detectores de presencia de personas y dos dispositivos que encienden y apagan la luz.,"La casa tiene dos estancias. Una de ellas es un salón con mesa de despacho. El salón no tiene ventana. Tiene un detector de presencia de personas y un dispositivo que enciende y apaga la luz. Hay una puerta que comunica el salón y la otra sala. La otra estancia es una sala de música. La sala de música tiene una puerta doble al exterior, no tiene ventana. Tiene un detector de presencia de personas y un dispositivo que enciende y apaga la luz. ",No,No,Soy profesora de ingeniería química en la universidad,No,,45
18/11/2023 7:47:13,"La casa tiene un estudio con una ventana y una puerta y hay un ordenador personal. Tiene una luz.
El salón tiene una puerta y un televisor.
La cocina tiene una puerta doble y una ventana. Tiene una luz.","La sala de reuniones tiene dos puertas dobles y dos paredes de cristal. Tiene dos luces y tres ordenadores de mesa.
","El cuarto de estar tiene una ventana, una luz y un televisor.
La cocina tiene una puerta doble y una luz.","El estudio tiene una luz y una puerta y un televisor .
La sala de música tiene una puerta doble y una luz.",No,No,Oficina ,Sí,,42
18/11/2023 16:21:12,La casa está bien configurada,Un buen salón con los dispositivos bien localizados,El salón tiene una zona comedor y zona de relax y la cocina una puerta grande.,,No,No,Funcionario ,No,,63
21/11/2023 10:37:49,,,,,Sí,No,AUXILIAR ADMINISTRATIVO,No,,45
21/11/2023 12:10:13,"La cocina tiene tres sensores, uno de proximidad, otro de luz y uno para la bombilla. El salón tiene un sensor de proximidad y otro para la bombilla. El estudio que se accede desde el salón tiene una puerta con sensor, una persiana automatizada, un sensor de proximidad, un sensor de luz y uno para la bombilla.","En la sala de reuniones tenemos dos sensores, uno de luz y otro para la bombilla. Lo mismo ocurre con la habitación de los ordenadores.","En el espacio de la cocina tenemos dos sensores, uno de luz y otro para la bombilla. En la habitación familiar, también tenemos los mismo sensores de la cocina y además uno para la persiana","En la sala de música tenemos dos sensores, uno para la luz y otro para la bombilla. En la guarida ocurre lo mismo.",Sí,No,Ingeniería del software,No,,23
21/11/2023 12:48:40,"La cocina tiene tres dispositivos: un primer dispositivo que permite encender y apagar la luz,  un segundo dispositivo que detecta si hay personas y un tercer dispositivo que mide el nivel de luz de la estancia. El salón tiene un dispositivo para detectar presencia de personas y otro dispositivo para encender y apagar la luz. El estudio tiene cinco dispositivos: uno para medir el nivel de luz, otro para encender y apagar la luz, otro para controlar la persiana, otro para detectar la presencia de personas y uno más para detectar el estado de la puerta que separa el estudio del salón. ",Ambas estancias contienen un dispositivo de control de presencia y otro para encender y apagar la luz.,"La estancia contiene cinco dispositivos: dos para encender y apagar la luz en zonas diferenciadas, otros dos para detección de presencia de personas también en zonas diferenciadas y uno más para controlar la persiana.",Ambas estancias incorporan un dispositivo para el control de presencia de personas y otro para encender y apagar la luz.,Sí,No,Técnico superior TIC en JCCM y profesor asociado del grado de informática en UCLM,Sí,,47
21/11/2023 15:32:09,"La casa tiene un salón con un televisor, un punto de luz y un sensor automático, además de una puerta manual y otra puerta con sensor de paso al estudio. El estudio consta de un ordenador personal de escritorio, junto a una ventana con persiana motorizada y un nuevo punto de luz. Por último, la cocina es la habitación de mayor tamaño, con un frigorífico, horno y microondas, próximos a una ventana abatible. En esta también disponemos de un punto de luz justo encima de la mesa comedor.","En la casa disponemos de una sala de reuniones con un punto de luz justo encima de la mesa de reuniones. No hay ventanas, por lo que la luz es plenamente artificial. Por último, se dispone de una sala de trabajo con un punto de luz y hasta tres ordenadores personales de escritorio, en cada uno de los puestos. Es importante recalcar también que, entre estas dos salas no hay una puerta de paso, si no una pared y/o ventana de cristal, por lo que no tiene las mismas características que un muro/pared común.","Casa estilo ""americano"" que mezcla cocina y salón sin pared física. Se dispone de una ventana con persiana motorizada para toda la habitación. Hay dos puntos de luz, uno ubicado en la cocina y otra en la mesa-comedor del salón. Entre los dispositivos electrónicos a tener en cuenta, la casa cuenta con un televisor, un frigorífico, un horno y un microoondas. En la cocina no hay entrada de luz natural.","La casa dispone de dos habitaciones, una de descanso/trabajo y otra de música. Hay una puerta que comunica ambas habitaciones, además de una puerta doble en la sala de música. Hay un punto de luz en cada uno de los habitáculos. No hay ventanas ni persianas motorizadas. Solo hay dos dispositivos electrónicos en la habitación de descanso/trabajo: un televisor y un ordenador personal de escritorio.",Sí,No,PDI Grado Ing. Informática,Sí,,34
23/11/2023 17:40:02,"La casa está compuesta por 3 habitaciones: un salón, un estudio y una cocina. Los identificadores son id_living_room, id_stdudio e id_kitchen respectivamente. 

En el estudio hay un dispositivo (id: motor_window_01) para abrir y cerrar la ventana (id: win1), un sensor de presencia (id: presence_sensor_01), una bombilla (id: bulb_01), un sensor de luz (id: sensor_light_01) y un sensor (id: door_sensor_01) en la puerta (id: D1).

El salón hay una bombilla (id: SDB1) y un sensor de presencia (id: presence_sensor_02).

En la cocina hay una luz (id: main_light), un sensor de luz (id: sensor_light_02).","La oficina está compuesta por 2 áreas principales: una sala de reuniones y un área de escritorios. Los identificadores son meeting_room e desktops respectivamente.

En la sala de reuniones hay un sensor de ocupación (id: meeting_room_occupancy) ubicado cerca de la puerta (id: door1). Una luz (id: meeting_room_light) en el centro de la sala sobre la mesa de reuniones.

En el área de escritorios hay una luz (id: desktops_light) y un sensor de ocupación (id: desktops_occupancy).","La casa está compuesta por 2 áreas principales: un salón familiar y un rincón de cocina. Los identificadores son family_room y kitchen_nook respectivamente.

En el salón hay un dispositivo de control para las cortinas (id: family_room_curtains) situado junto a la ventana (id: Win1), una lámpara (id: family_room_lamp) encima de los muebles del televisor y un sensor de presencia (id: family_room_sensor) cerca del sofá.

En el rincón de la cocina hay una luz (id: kitchen_nook_light) sobre la mesa del rincón y un sensor de presencia (id: kitchen_nook_sensor).","La casa está compuesta por 2 áreas principales: una sala de estar y una sala de música. Los identificadores son den y music_room respectivamente.

En la sala de estar hay un sensor de presencia (id: occupancy_sensor_01) ubicado en la pared (wall1) y una bombilla (id: lamp_01) cerca de los asientos.

En la sala de música hay una bombilla (id: lamp_02) y un sensor de presencia (id: occupancy_sensor_01) cerca de la puerta (id: D2)",Sí,Sí,PDI en la UCLM,Sí,,33
24/11/2023 10:55:11,La case tiene tres habitaciones. Hay una sala de estar que da acceso a un despacho y un comedor con cocina americana. El despacho dispone un un gran ventanal con persiana motorizada. El comedor tiene una gran ventana y la salida al exterior mediante una puerta doble. Las tres habitaciones cuentan con un punto de luz y un sensor de presencia. Además el despacho y el comedor disponen de un sensor de luz.,El plano muestra lo que parece una oficina formada por dos estancias: una sala de reuniones y un espacio compartido con tres mesas de despacho. Ambas habitaciones están separadas por una pared de cristal y tienen salida probablemente a un pasillo mediante sendas puertas de hoja doble. En las dos habitaciones hay un punto de luz y un sensor de presencia.,El plano muestra un solo espacio separado en dos ambientes: una sala de estar con mesa de comedor y una cocina. La sala de estar tiene una gran ventanal con persiana automática. La cocina tiene salida al exterior mediante una puerta doble. Ambos espacios disponen cada uno de un punto de luz y un sensor de presencia.,"El plano muestra una sala de estar con una mesa con una computadora sin ventanas, conectada mediante una puerta con una sala de música en la que hay un piano de cola. La sala de música tiene una salida al exterior mediante una puerta doble. Ambas habitaciones disponen cada una de un punto de luz y un sensor de presencia.",Sí,Sí,Profesor universitario,Sí,,47
28/11/2023 14:17:50,"El escenario está formado por tres espacios denominados kitchen, living room y studio. La cocina conecta con el exterior por medio de una puerta con identificador D0 de cristal, y con el salón mediante una puerta llamada D2. El salón, a suvez, conecta con el estudio por medio de una puerta que se llama D1. Tanto la cocina como el estudio tienen ventanas, llamadas Win2 y Win1, respectivamente.

En cuanto a los dispositivos, la cocina tiene un sensor de ocupación llamado 'kitchen occupancy', un sensor de luz llamado 'kitchen light level', y una lámpara inteligente denominada 'main light'. El salón tiene una bombilla inteligente y un sensor de ocupación llamados 'SB1' y 'OS1', respectivamente. El estudio tiene un sensor de ocupación, un sensor de luz, una bombilla inteligente y un motor de persianas en la ventana que hay en esa localización, pero ninguno de estos tiene un identificador conocido.","El escenario está formado por una salda de reuniones llamda 'meeting room' y un espacio de puestos de trabajo denominado 'desktops'. Al primer espacio puede accederse por una puerta 'door1', y a los puestos de trabajo por una puerta 'door2'. La sala de reuniones está separada de la salada de puestos de trabajo por una pared de cristal llamada wall5.

'Meeting room' dispone de un sensor de ocupación 'meeting_room_occupancy' y de una bombilla inteligente 'meeting_room_light'. 'Desktops' también tiene estos dispositivos, pero llamados 'desktops_occupancy' y 'desktops_light'. ","El escenario consta de dos áreas: 'kitchen nook' y 'family room'. Solamente este último espacio tiene una ventana, llamada 'Win1', y ambos espacios se encuentran en un mismo espacio físico. Mientras que en 'kitchen nook' encontramos un sensor de ocupación 'kitchen_nook_sensor' y una bombilla inteligente 'kitchen_nook_light', en 'family_room' tenemos un sensor de ocupación 'family_room_sensor', una bombilla inteligente 'family_room_lamp', y un motor de cortinas 'family_room_courtains'. 'Kitchen nook' conecta con el exterior por una puerta llamada 'D0'.","El escenario consta de dos espacios, 'music room' y 'den'. AMbos espacios conectan por una puerta 'D2', y cada uno tienen un sensor de presencia y una bombilla inteligente de nombre desconocido. 'Music room' conecta con el exterior mediante una puerta 'D0'.",Sí,Sí,"Profesora Ayudante en la UCLM, Ing. Informática",Sí,,29